Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,46.770000,47.349998,46.200001,46.669998,46.669998,649237
2016-11-02,46.320000,46.470001,44.959999,45.340000,45.340000,834989
2016-11-03,45.480000,45.900002,44.369999,44.660000,44.660000,674322
2016-11-04,44.630001,44.869999,43.570000,44.070000,44.070000,540439
2016-11-06,null,null,null,null,null,null
2016-11-07,44.450001,45.009998,44.110001,44.889999,44.889999,736685
2016-11-08,44.970001,45.389999,44.410000,44.980000,44.980000,605733
2016-11-09,44.820000,45.950001,43.070000,45.270000,45.270000,669639
2016-11-10,45.310001,45.639999,44.250000,44.660000,44.660000,946512
2016-11-13,null,null,null,null,null,null
2016-11-14,43.200001,43.810001,42.200001,43.320000,43.320000,631135
2016-11-15,43.759998,46.090000,43.549999,45.810001,45.810001,704766
2016-11-16,45.770000,46.410000,45.029999,45.570000,45.570000,706177
2016-11-17,45.369999,46.580002,44.880001,45.419998,45.419998,658169
2016-11-18,44.930000,45.770000,44.549999,45.689999,45.689999,284874
2016-11-20,null,null,null,null,null,null
2016-11-21,45.830002,47.799999,45.770000,47.490002,47.490002,155651
2016-11-22,48.369999,49.200001,47.169998,48.029999,48.029999,665326
2016-11-23,47.939999,48.430000,47.400002,47.959999,47.959999,826208
2016-11-25,47.970001,48.259998,45.880001,46.060001,46.060001,556861
2016-11-27,null,null,null,null,null,null
2016-11-28,45.430000,47.650002,45.139999,47.080002,47.080002,465977
2016-11-29,46.880001,46.980000,44.820000,45.230000,45.230000,734381
2016-11-30,45.240002,49.900002,45.220001,49.439999,49.439999,732818
2016-12-01,49.070000,51.799999,48.980000,51.060001,51.060001,1311000
2016-12-02,51.009998,51.730000,50.180000,51.680000,51.680000,974805
2016-12-04,null,null,null,null,null,null
2016-12-05,51.459999,52.419998,50.930000,51.790001,51.790001,667099
2016-12-06,50.970001,51.599998,50.279999,50.930000,50.930000,600782
2016-12-07,50.930000,51.200001,49.720001,49.770000,49.770000,642746
2016-12-08,49.880001,50.980000,49.610001,50.840000,50.840000,816879
2016-12-09,50.919998,51.660000,50.860001,51.500000,51.500000,780062
2016-12-11,null,null,null,null,null,null
2016-12-12,52.580002,54.509998,52.180000,52.830002,52.830002,652040
2016-12-13,52.509998,53.410000,52.349998,52.980000,52.980000,847025
2016-12-14,52.450001,52.779999,50.669998,51.040001,51.040001,638396
2016-12-15,50.790001,51.480000,49.950001,50.900002,50.900002,677957
2016-12-16,51.099998,52.080002,50.500000,51.900002,51.900002,551759
2016-12-18,null,null,null,null,null,null
2016-12-19,52.150002,52.520000,51.509998,52.119999,52.119999,252567
2016-12-20,52.110001,52.700001,51.849998,52.230000,52.230000,129990
2016-12-21,53.560001,53.790001,52.320000,52.490002,52.490002,416592
2016-12-22,52.520000,53.189999,52.080002,52.950001,52.950001,471993
2016-12-23,52.680000,53.279999,52.259998,53.020000,53.020000,393487
2016-12-25,null,null,null,null,null,null
2016-12-27,53.290001,54.099998,53.029999,53.900002,53.900002,285166
2016-12-28,53.930000,54.369999,53.560001,54.060001,54.060001,277306
2016-12-29,53.660000,54.209999,53.459999,53.770000,53.770000,322535
2016-12-30,53.869999,54.090000,53.410000,53.720001,53.720001,360194
2017-01-01,null,null,null,null,null,null
2017-01-03,54.200001,55.240002,52.110001,52.330002,52.330002,271094
2017-01-04,52.490002,53.430000,52.150002,53.259998,53.259998,727793
2017-01-05,53.389999,54.119999,52.790001,53.759998,53.759998,512641
2017-01-06,53.730000,54.320000,53.320000,53.990002,53.990002,517362
2017-01-08,null,null,null,null,null,null
2017-01-09,53.750000,53.830002,51.759998,51.959999,51.959999,528333
2017-01-10,51.830002,52.369999,50.709999,50.820000,50.820000,564893
2017-01-11,50.810001,52.779999,50.750000,52.250000,52.250000,632573
2017-01-12,52.369999,53.500000,52.119999,53.009998,53.009998,815846
2017-01-13,53.049999,53.169998,52.270000,52.369999,52.369999,660703
2017-01-15,null,null,null,null,null,null
2017-01-17,52.549999,53.520000,52.119999,52.480000,52.480000,477986
2017-01-18,52.520000,52.790001,50.910000,51.080002,51.080002,606023
2017-01-19,51.389999,51.869999,51.020000,51.369999,51.369999,236238
2017-01-20,51.450001,52.900002,51.389999,52.419998,52.419998,122593
2017-01-22,null,null,null,null,null,null
2017-01-23,53.330002,53.470001,52.209999,52.750000,52.750000,567231
2017-01-24,52.860001,53.560001,52.669998,53.180000,53.180000,455333
2017-01-25,52.950001,53.470001,52.560001,52.750000,52.750000,520285
