Date,Open,High,Low,Close,Adj.Close,Volume
2016-12-01,2199.500000,2203.000000,2186.000000,2192.000000,2192.000000,1960189
2016-12-02,2190.500000,2197.250000,2184.250000,2192.000000,2192.000000,2148721
2016-12-04,null,null,null,null,null,null
2016-12-05,2184.000000,2208.750000,2179.000000,2204.250000,2204.250000,1682042
2016-12-06,2205.000000,2212.000000,2200.250000,2210.000000,2210.000000,1663731
2016-12-07,2211.250000,2241.250000,2206.750000,2236.750000,2236.750000,1483946
2016-12-08,2236.500000,2251.500000,2232.500000,2247.750000,2247.750000,2328449
2016-12-09,2246.750000,2261.250000,2245.000000,2260.000000,2260.000000,2109978
2016-12-11,null,null,null,null,null,null
2016-12-12,2260.750000,2270.250000,2252.250000,2256.000000,2256.000000,1090581
2016-12-13,2256.000000,2278.250000,2253.250000,2273.250000,2273.250000,1019782
2016-12-14,2273.250000,2277.000000,2248.000000,2257.000000,2257.000000,1053815
2016-12-15,2256.000000,2272.750000,2252.250000,2263.500000,2263.500000,767129
2016-12-16,2264.250000,2269.500000,2261.750000,2267.500000,2267.500000,477530
2016-12-18,null,null,null,null,null,null
2016-12-19,2256.000000,2263.750000,2254.000000,2260.000000,2260.000000,1415262
2016-12-20,2260.250000,2269.500000,2260.000000,2266.500000,2266.500000,928690
2016-12-21,2267.250000,2268.000000,2258.000000,2260.500000,2260.500000,814005
2016-12-22,2258.250000,2261.000000,2251.500000,2258.750000,2258.750000,667705
2016-12-23,2257.500000,2261.000000,2254.250000,2260.000000,2260.000000,847626
2016-12-25,null,null,null,null,null,null
2016-12-27,2258.750000,2269.500000,2257.750000,2261.000000,2261.000000,396535
2016-12-28,2261.250000,2267.500000,2243.500000,2245.250000,2245.250000,498741
2016-12-29,2245.500000,2250.000000,2239.500000,2245.000000,2245.000000,1000606
2016-12-30,2246.250000,2252.750000,2228.000000,2236.250000,2236.250000,913220
2017-01-01,null,null,null,null,null,null
2017-01-03,2240.750000,2259.500000,2239.500000,2252.500000,2252.500000,1281987
2017-01-04,2252.750000,2267.250000,2251.000000,2264.250000,2264.250000,1810351
2017-01-05,2264.500000,2266.000000,2254.000000,2264.250000,2264.250000,1404875
2017-01-06,2264.250000,2277.000000,2258.250000,2271.500000,2271.500000,1324035
2017-01-08,null,null,null,null,null,null
2017-01-09,2271.250000,2275.250000,2263.500000,2265.000000,2265.000000,1551007
2017-01-10,2264.500000,2274.000000,2259.500000,2263.750000,2263.750000,1025182
2017-01-11,2263.750000,2271.750000,2255.000000,2270.500000,2270.500000,1304523
2017-01-12,2270.500000,2270.500000,2248.500000,2263.500000,2263.500000,1733727
2017-01-13,2264.500000,2273.500000,2262.750000,2272.500000,2272.500000,1752976
2017-01-15,null,null,null,null,null,null
2017-01-17,2270.250000,2270.500000,2257.250000,2262.750000,2262.750000,1192660
2017-01-18,2262.000000,2268.500000,2258.250000,2266.500000,2266.500000,1540220
2017-01-19,2265.500000,2269.500000,2253.000000,2261.500000,2261.500000,1111992
2017-01-20,2261.000000,2272.750000,2259.750000,2266.000000,2266.000000,1386240
2017-01-22,null,null,null,null,null,null
2017-01-23,2266.000000,2267.500000,2251.750000,2262.000000,2262.000000,1737181
2017-01-24,2260.750000,2280.500000,2259.500000,2274.500000,2274.500000,1474482
2017-01-25,2275.750000,2295.250000,2274.750000,2294.000000,2294.000000,1273116
