Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,1279.300049,1290.699951,1279.000000,1286.400024,1286.400024,58
2016-11-02,1288.300049,1307.000000,1288.300049,1306.800049,1306.800049,49
2016-11-03,1296.400024,1303.099976,1287.300049,1302.099976,1302.099976,30
2016-11-04,1300.000000,1303.300049,1296.699951,1303.300049,1303.300049,73
2016-11-06,null,null,null,null,null,null
2016-11-07,1292.000000,1294.500000,1278.300049,1278.300049,1278.300049,11
2016-11-08,1284.099976,1289.400024,1273.199951,1273.400024,1273.400024,34
2016-11-09,1272.199951,1318.599976,1270.000000,1272.599976,1272.599976,50
2016-11-10,1274.400024,1287.500000,1253.300049,1265.500000,1265.500000,108
2016-11-13,null,null,null,null,null,null
2016-11-14,1227.800049,1229.500000,1210.400024,1221.199951,1221.199951,599
2016-11-15,1224.300049,1226.000000,1222.500000,1224.000000,1224.000000,216
2016-11-16,1229.300049,1229.300049,1223.000000,1223.400024,1223.400024,20
2016-11-17,1224.599976,1225.000000,1211.000000,1216.500000,1216.500000,66
2016-11-18,1211.900024,1211.900024,1207.199951,1208.500000,1208.500000,1139
2016-11-20,null,null,null,null,null,null
2016-11-21,1209.599976,1209.599976,1209.599976,1209.599976,1209.599976,607
2016-11-22,1210.400024,1211.099976,1207.599976,1211.000000,1211.000000,19
2016-11-23,1212.800049,1213.800049,1186.800049,1189.099976,1189.099976,19
2016-11-25,1177.000000,1189.300049,1177.000000,1178.199951,1178.199951,309
2016-11-27,null,null,null,null,null,null
2016-11-28,1188.000000,1190.599976,1188.000000,1190.599976,1190.599976,14
2016-11-29,1193.199951,1194.800049,1179.400024,1187.900024,1187.900024,189914
2016-11-30,1187.099976,1193.300049,1167.900024,1170.800049,1170.800049,42124
2016-12-01,1172.699951,1174.599976,1160.000000,1166.900024,1166.900024,7158
2016-12-02,1172.300049,1177.300049,1166.400024,1175.099976,1175.099976,1588
2016-12-04,null,null,null,null,null,null
2016-12-05,1181.800049,1186.699951,1157.000000,1174.000000,1174.000000,1521
2016-12-06,1170.900024,1174.500000,1167.099976,1167.599976,1167.599976,358
2016-12-07,1167.699951,1178.500000,1166.400024,1175.000000,1175.000000,652
2016-12-08,1173.800049,1177.800049,1169.099976,1169.800049,1169.800049,182
